"Parcel Number",Number,Street,"School District",Township,"Corp / Village","Sale #",Month,Year,"Sale Price",Sqft,Acres,"Yr Built",Story,Basement,Frame,Bedrooms,BasementSqft,"Fin Base",Air,GarageSqft,Type,"Heat Type",Roof,RoofType,Rooms,FullBaths,HalfBaths,Grade,MHRE,NeighCode,PropClass,LandValue,BldgValue,"Property Card"
020010260000,,,2A,4B,,"  309"," 7",10,"    21900",,"     2460",,,,,,,,,,,,,,,,,,," 290",599,"    320","     300",http://www.realestate.co.hocking.oh.us/cards/Crnt/020010260000.pdf
020010260300,,,2A,4B,,"  264"," 6",10,"    25000",,"     5246",,,,,,,,,,,,,,,,,,," 290",501,"   4000",,http://www.realestate.co.hocking.oh.us/cards/Crnt/020010260300.pdf
020010430000," 1046",HOMER,2A,4B,,"   19"," 1",10,"    52700"," 1422",,60R0,1,B,F,,"  356",,Y,,,"FA GAS",S,ASP," 5",1,,D-10,," 290",510,"   9400","   57560",http://www.realestate.co.hocking.oh.us/cards/Crnt/020010430000.pdf
020010900100,"  771","ADAMS  (771,",2A,4B,,"  489",11,10,"   122500"," 2592",,1988,1,,F,,,,,,,ELECTRIC,S,ASP," 9",3,,C-5,," 290",530,"  16800","  108200",http://www.realestate.co.hocking.oh.us/cards/Crnt/020010900100.pdf
020010930102," 1010",CHARLES,2A,4B,,"  311"," 7",10,"    15000",,,,,,,,,,,,,,,,,,,,," 290",570,"   8400","    6720",http://www.realestate.co.hocking.oh.us/cards/Crnt/020010930102.pdf
020011370000," 1127",CHARLES,2A,4B,,"  164"," 4",10,"    76900","  862",,38R9,1,B,F,,"  792",,Y,"  280",D,GAS,S,ASP," 5",1,,D+10,," 290",510,"   8400","   63400",http://www.realestate.co.hocking.oh.us/cards/Crnt/020011370000.pdf
020011450000,"  975",CHARLES,2A,4B,,"  313"," 7",10,"    55500"," 1184",,"  R0",1,,F," 2",,,,,,,S,ASP," 4",1,,D+5,," 290",510,"   8400","   50150",http://www.realestate.co.hocking.oh.us/cards/Crnt/020011450000.pdf
020011600000," 1251",TRIMMER,2A,4B,,"  348"," 8",10,"    50000","  666",,OLD/,1,B,F,,"  594",,Y,"  200",A,HA,L,SLA," 4",1,,D+10,," 290",510,"   8400","   44100",http://www.realestate.co.hocking.oh.us/cards/Crnt/020011600000.pdf
020011610000," 1245",TRIMMER,2A,4B,,"  348"," 8",10,"    50000"," 1374",,,,,,,,,," 1230",D,,,,,,,,," 290",499,"   8400","   14320",http://www.realestate.co.hocking.oh.us/cards/Crnt/020011610000.pdf
020011880000,,,2A,4B,,"  201"," 5",10,"     5200",,,,,,,,,,,,,,,,,,,,," 284",500,"    400",,http://www.realestate.co.hocking.oh.us/cards/Crnt/020011880000.pdf
020012070000,"  617",WEST,2A,4B,,"  526",12,10,"     4500",,,,,,,,,,,,,,,,,,,,," 284",570,"    400",,http://www.realestate.co.hocking.oh.us/cards/Crnt/020012070000.pdf
020012080000,"  573",WEST,2A,4B,,"  526",12,10,"     4500",,,,,,,,,,,,,,,,,,,,," 284",500,"   3400",,http://www.realestate.co.hocking.oh.us/cards/Crnt/020012080000.pdf
020012100000,,,2A,4B,,"  526",12,10,"     4500",,,,,,,,,,,,,,,,,,,,," 284",500,"    200",,http://www.realestate.co.hocking.oh.us/cards/Crnt/020012100000.pdf
020012170000,,,2A,4B,,"  201"," 5",10,"     5200",,,,,,,,,,,,,,,,,,,,," 284",570,"    800",,http://www.realestate.co.hocking.oh.us/cards/Crnt/020012170000.pdf
020012190000,,,2A,4B,,"  201"," 5",10,"     5200",,,,,,,,,,,,,,,,,,,,," 284",500,"    230",,http://www.realestate.co.hocking.oh.us/cards/Crnt/020012190000.pdf
020012240000,,,2A,4B,,"  201"," 5",10,"     5200",,,,,,,,,,,,,,,,,,,,," 284",500,"    880",,http://www.realestate.co.hocking.oh.us/cards/Crnt/020012240000.pdf
020012260000,,,2A,4B,,"  201"," 5",10,"     5200",,,,,,,,,,,,,,,,,,,,," 284",500,"   1330",,http://www.realestate.co.hocking.oh.us/cards/Crnt/020012260000.pdf
020013160000," 1266",HOMER,2A,4B,,"  446",11,10,"    46190","  978",,OLD/,1,B,F,,"  978",,,,,"WARM AIR",S,," 5",1,,D-10,," 290",510,"   8100","   32340",http://www.realestate.co.hocking.oh.us/cards/Crnt/020013160000.pdf
020013180000," 1248",HOMER,2A,4B,,"  380"," 9",10,"    10000",,,,,,,,,,,,,,,,,,,,," 290",570,"   9400","     270",http://www.realestate.co.hocking.oh.us/cards/Crnt/020013180000.pdf
020013240000," 1261",HOMER,2A,4B,,"   85"," 3",10,"    25000",,,,,,,,,,,,,,,,,,,,," 290",571,"   8400",,http://www.realestate.co.hocking.oh.us/cards/Crnt/020013240000.pdf
020013270000," 1285",HOMER,2A,4B,,"   24"," 1",10,"    76000"," 1192",,60R0,1,,F," 3",,,Y,,,ELEC,S,ASP," 5",2,,D+5,," 290",510,"   8400","   63570",http://www.realestate.co.hocking.oh.us/cards/Crnt/020013270000.pdf
020017320000,11397,"HIGHLAND PAR",2A,4B,,"  109"," 3",10,"    67700"," 1008","     5000",1995,1,B,F," 3"," 1008",,Y,"  480",A,ELEC/GAS,S,GAB,,1,,C-5,," 266",510,"  19500","   94820",http://www.realestate.co.hocking.oh.us/cards/Crnt/020017320000.pdf
020017440000,11296,"HIGHLAND PAR",2A,4B,,"   49"," 2",10,"    99000","  960","     5000",1973,1,B,F,,"  960",F,Y,"  480",A,"HEAT PMP",S,ASP," 5",1,,C+5,," 266",510,"  19700","   90280",http://www.realestate.co.hocking.oh.us/cards/Crnt/020017440000.pdf
020018320000,11901,JOPPA,2A,4B,,"  452",11,10,"    50000"," 1104","     7800",1977,1,B,F,,"  552",F,,"  480",A,ELECTRIC,S,ASP," 5",1,,C,," 270",510,"  18900","   85280",http://www.realestate.co.hocking.oh.us/cards/Crnt/020018320000.pdf
020018680000,"   21",LIMBERLOST,2A,4B,,"  341"," 8",10,"     6000",,,,,,,,,,,,,,,,,,,,," 244",599,"   2880","    6190",http://www.realestate.co.hocking.oh.us/cards/Crnt/020018680000.pdf
020018730000,"   30",LIMBERLOST,2A,4B,,"  196"," 5",10,"     5000",,,,,,,,,,,,,,,,,,,,," 244",599,"   2600",,http://www.realestate.co.hocking.oh.us/cards/Crnt/020018730000.pdf
020018740000,"   31",LIMBERLOST,2A,4B,,"  196"," 5",10,"     5000",,,,,,,,,,,,,,,,,,,,," 244",599,"   2600","   15150",http://www.realestate.co.hocking.oh.us/cards/Crnt/020018740000.pdf
020018820000,"   39","PINEYWOODS T",2A,4B,,"  480",11,10,"    12500",,,,,,,,,,,,,,,,,,,,," 244",599,"   2600","    6880",http://www.realestate.co.hocking.oh.us/cards/Crnt/020018820000.pdf
020018950000,"   52","PINEYWOODS T",2A,4B,,"  479",11,10,"     1500",,,,,,,,,,,,,,,,,,,,," 244",599,"   2600","     500",http://www.realestate.co.hocking.oh.us/cards/Crnt/020018950000.pdf
020019050000,"   62","PINEYWOODS T",2A,4B,,"   73"," 3",10,"     3000",,,,,,,,,,,,,,,,,,,,," 244",599,"   2600",,http://www.realestate.co.hocking.oh.us/cards/Crnt/020019050000.pdf
020019060000,"   63","PINEYWOODS T",2A,4B,,"  521",12,10,"     2000",,,,,,,,,,,,,,,,,,,,," 244",599,"   2600",,http://www.realestate.co.hocking.oh.us/cards/Crnt/020019060000.pdf
020019220000,"   79","PINEYWOODS T",2A,4B,,"  349"," 8",10,"    10000",,,,,,,,,,,,,,,,,,,,," 244",599,"   2600","    6600",http://www.realestate.co.hocking.oh.us/cards/Crnt/020019220000.pdf
020019680000,"  125","WILDWOOD RET",2A,4B,,"  121"," 4",10,"    25000",,,,,,,,,,,,,,,,,,,,," 244",599,"   3170","    2520",http://www.realestate.co.hocking.oh.us/cards/Crnt/020019680000.pdf
020020110000,"  168","LOST HOLLOW",2A,4B,,"  231"," 6",10,"     6000",,,,,,,,,,,,,,,,,,,,," 244",599,"   2600","    9450",http://www.realestate.co.hocking.oh.us/cards/Crnt/020020110000.pdf
020020130000,"  170","LOST HOLLOW",2A,4B,,"  221"," 5",10,"     2000",,,,,,,,,,,,,,,,,,,,," 244",599,"   2600","   12390",http://www.realestate.co.hocking.oh.us/cards/Crnt/020020130000.pdf
020020360000,"  193","TWILIGHT TRA",2A,4B,,"  169"," 4",10,"     4500",,,,,,,,,,,,,,,,,,,,," 244",599,"   3170",,http://www.realestate.co.hocking.oh.us/cards/Crnt/020020360000.pdf
020020450000,"  202","TWILIGHT TRA",2A,4B,,"  208"," 5",10,"     2000",,,,,,,,,,,,,,,,,,,,," 244",599,"   2880","   10380",http://www.realestate.co.hocking.oh.us/cards/Crnt/020020450000.pdf
020020990000,"  257","DEER SLAYER",2A,4B,,"  251"," 6",10,"      900",,,,,,,,,,,,,,,,,,,,," 244",500,"   3740",,http://www.realestate.co.hocking.oh.us/cards/Crnt/020020990000.pdf
020021000000,"  258","DEER SLAYER",2A,4B,,"  251"," 6",10,"      900",,,,,,,,,,,,,,,,,,,,," 244",599,"   3170","   10020",http://www.realestate.co.hocking.oh.us/cards/Crnt/020021000000.pdf
020021010000,"  259","DEER SLAYER",2A,4B,,"  291"," 7",10,"     3000",,,,,,,,,,,,,,,,,,,,," 244",599,"   3170","   10640",http://www.realestate.co.hocking.oh.us/cards/Crnt/020021010000.pdf
020021010000,"  259","DEER SLAYER",2A,4B,,"  421",10,10,"     6000",,,,,,,,,,,,,,,,,,,,," 244",599,"   3170","   10640",http://www.realestate.co.hocking.oh.us/cards/Crnt/020021010000.pdf
